company_permalink,acquirer_permalink,acquirer_name,acquirer_category_code,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,price_amount,price_currency_code,acquired_at,acquired_at_cleaned,id
/company/knowledge-computing,/company/i2,i2,software,USA,VA,Washington DC,McLean,,USD,7/2/09,2009-07-02 00:00:00,3518
/company/knowledgecentrix,/company/all-covered,All Covered,consulting,USA,CA,SF Bay,Redwood City,,USD,1/28/14,2014-01-28 00:00:00,3519
/company/knowledgextensions,/company/inmedius,Inmedius,software,USA,PA,Pittsburg,Pittsburgh,,USD,3/3/11,2011-03-03 00:00:00,3520
/company/kobo,/company/rakuten,Rakuten,web,JPN,,Tokyo,Tokyo,3.15E8,USD,11/8/11,2011-11-08 00:00:00,3521
/company/inkfruit,/company/zovi,Zovi,,IND,,Bangalore,Bangalore,,USD,2/1/13,2013-02-01 00:00:00,3522
/company/koening-international,/company/homeadvisor,HomeAdvisor,web,USA,CO,Denver,Lakewood,,USD,10/29/08,2008-10-29 00:00:00,3523
/company/koinup,/company/exitreality,ExitReality,web,GBR,,London,London,,USD,1/8/13,2013-01-08 00:00:00,3524
/company/komodo-technology,/company/cisco,Cisco,hardware,USA,CA,SF Bay,San Jose,,USD,7/25/00,2000-07-25 00:00:00,3525
/company/konfabulator,/company/yahoo,Yahoo!,web,USA,CA,SF Bay,Sunnyvale,,USD,7/25/05,2005-07-25 00:00:00,3526
/company/konftel,/company/avaya,Avaya,software,USA,NJ,Basking Ridge,Basking Ridge,1.5E7,USD,1/4/11,2011-01-04 00:00:00,3527
/company/kongregate,/company/gamestop,Gamestop,games_video,USA,TX,Dallas,Grapevine,,USD,7/27/10,2010-07-27 00:00:00,3528
/company/koolanoo-group,/company/east-river-capital,East River Capital,,,,unknown,,,USD,12/1/09,2009-12-01 00:00:00,3529
/company/koprol,/company/yahoo,Yahoo!,web,USA,CA,SF Bay,Sunnyvale,,USD,5/25/10,2010-05-25 00:00:00,3530
/company/kor-electronics,/company/mercury-computer-systems,Mercury Computer Systems,semiconductor,USA,MA,Boston,Chelmsford,7.0E7,USD,12/23/11,2011-12-23 00:00:00,3531
/company/koral-technologies,/company/salesforce,Salesforce,enterprise,USA,CA,SF Bay,San Francisco,,USD,4/10/07,2007-04-10 00:00:00,3532
/company/koreanclick,/company/nielsen,Nielsen,web,USA,NY,New York,New York,,USD,9/9/09,2009-09-09 00:00:00,3533
/company/kosan-biosciences,/company/bristol-myers-squibb,Bristol-Myers Squibb,biotech,USA,NY,New York,New York,3.3846E8,USD,5/28/08,2008-05-28 00:00:00,3534
/company/kosmix,/company/walmart-labs-2,WalmartLabs,,USA,CA,SF Bay,San Bruno,,USD,5/1/11,2011-05-01 00:00:00,3535
/company/kotura,/company/mellanox-technologies,Mellanox Technologies,semiconductor,USA,CA,SF Bay,Sunnyvale,8.2E7,USD,8/22/13,2013-08-22 00:00:00,3536
/company/kovio,/company/thinfilm-electronics-asa,Thin Film Electronics ASA,other,NOR,,Oslo,Oslo,3700000.0,USD,1/22/14,2014-01-22 00:00:00,3537
/company/kreatech-diagnostics,/company/leica-biosystems-st-louis,Leica Biosystems St. Louis,biotech,USA,MO,Saint Louis,Saint Louis,,USD,7/8/13,2013-07-08 00:00:00,3538
/company/krillion,/company/local-com,Local.com,advertising,USA,CA,Los Angeles,Irvine,3500000.0,USD,5/2/11,2011-05-02 00:00:00,3539
/company/ksnet,/company/net1,Net1,,ZAF,,Johannesburg,Johannesburg,,USD,9/16/10,2010-09-16 00:00:00,3540
/company/kss-retail,/company/dunnhumby,dunnhumby,other,GBR,,London,"Ealing, London",,USD,1/4/10,2010-01-04 00:00:00,3541
/company/ku6,/company/shanda-games,Shanda Games,games_video,CHN,,Shanghai,Shanghai,,USD,11/27/09,2009-11-27 00:00:00,3542
/company/kuck-associates,/company/intel,Intel,hardware,USA,CA,SF Bay,Santa Clara,,USD,4/10/00,2000-04-10 00:00:00,3543
/company/kunming-golden-broadway-technology-development,/company/funtalk-china-holdings,Funtalk China Holdings,,,,unknown,,,USD,4/30/10,2010-04-30 00:00:00,3544
/company/kununu,/company/xing,XING,social,DEU,,Hamburg,Hamburg,,USD,1/10/13,2013-01-10 00:00:00,3545
/company/kupoya,/company/kupoya,Kupoya,advertising,,,unknown,,,USD,1/10/13,2013-01-10 00:00:00,3546
/company/kurant,/company/ebay,eBay,ecommerce,USA,CA,SF Bay,San Jose,,USD,1/1/05,2005-01-01 00:00:00,3547
/company/kuxun,/company/tripadvisor,TripAdvisor,travel,USA,MA,Boston,Newton,1.2E7,USD,10/1/09,2009-10-01 00:00:00,3548
/company/kvs-information-systems,/company/springbrook-software,Springbrook Software,software,USA,OR,Portland,Portland,,USD,1/14/13,2013-01-14 00:00:00,3549
/company/kvux-com,/company/trip-locators,Trip Locators,other,,,unknown,,330000.0,USD,3/28/13,2013-03-28 00:00:00,3550
/company/kwkly,/company/market-leader,Market Leader,public_relations,USA,WA,Seattle,"Kirkland,",,USD,1/1/11,2011-01-01 00:00:00,3551
/company/kynogon,/company/autodesk,Autodesk,software,USA,CA,SF Bay,San Rafael,,USD,2/19/08,2008-02-19 00:00:00,3552
/company/kyte,/company/kit-digital,KIT digital,games_video,CZE,,Prague,Prague,,USD,1/31/11,2011-01-31 00:00:00,3553
/company/la-gardenia,/company/bridgepoint,Bridgepoint,,FIN,,Helsinki,Helsinki,,USD,7/20/11,2011-07-20 00:00:00,3554
/company/labarge,/company/ducommun,Ducommun,,USA,CA,Los Angeles,Carson,,USD,4/4/11,2011-04-04 00:00:00,3555
/company/labopharm,/company/paladin-labs,Paladin Labs,biotech,CAN,,Saint-Laurent,"St. Laurent, QC",,USD,8/17/11,2011-08-17 00:00:00,3556
/company/laboratorios-indas,/company/domtar,Domtar,,,,unknown,,,USD,11/19/13,2013-11-19 00:00:00,3557
/company/laboratory-management-services,/company/halfpenny-technologies,Halfpenny Technologies,medical,USA,PA,Philadelphia,Blue Bell,,USD,6/8/10,2010-06-08 00:00:00,3558
/company/labpixies,/company/google,Google,search,USA,CA,SF Bay,Mountain View,2.5E7,USD,4/27/10,2010-04-27 00:00:00,3559
/company/labtec,/company/tesa,Tesa,biotech,DEU,,Hamburg,Hamburg,,USD,11/26/08,2008-11-26 00:00:00,3560
/company/labtronics,/company/perkinelmer,PerkinElmer,hardware,USA,MA,Boston,Waltham,,USD,5/16/11,2011-05-16 00:00:00,3561
/company/lagan,/company/kana-software,KANA Software,software,USA,CA,SF Bay,Sunnyvale,,USD,11/4/10,2010-11-04 00:00:00,3562
/company/lalawag,/company/valley-girl,Valley Girl,games_video,,,unknown,,,USD,10/11/10,2010-10-11 00:00:00,3563
/company/landesk-software,/company/rakuten-mediaforge,Rakuten mediaFORGE,advertising,USA,UT,Salt Lake City,Salt Lake City,,USD,8/23/10,2010-08-23 00:00:00,3564
/company/landis-gyr,/company/toshiba,Toshiba Corporation,hardware,JPN,,Tokyo,Tokyo,,USD,5/19/11,2011-05-19 00:00:00,3565
/company/landlordology,/company/cozy,Cozy,real_estate,USA,CA,SF Bay,San Francisco,,USD,1/7/14,2014-01-07 00:00:00,3566
/company/landsofamerica-com,/company/loopnet,LoopNet,real_estate,USA,CA,SF Bay,San Francisco,,USD,9/14/10,2010-09-14 00:00:00,3567
/company/language-computing,/company/nuance,Nuance Communications,software,USA,MA,Boston,Burlington,,USD,3/1/10,2010-03-01 00:00:00,3568
/company/language-analysis-systems,/company/ibm,IBM,software,USA,NY,New York,Armonk,,USD,3/16/06,2006-03-16 00:00:00,3569
