评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
这些玩意，要是韩国日本偷去能当国宝供起来拍电影写传记申遗。我们在这方面知识产权严重缺乏，惋惜,2022-02-21 00:30:12,5,评论,这些玩意，要是韩国日本偷去能当国宝供起来拍电影写传记申遗。我们在这方面知识产权严重缺乏，惋惜,0.0012
@可可今天吃土了吗,2022-02-21 00:20:23,4,评论,@可今天吃土了吗,0.1991
我说我行，我的手说他不行,2022-02-21 00:18:53,3,评论,我说我行，我的手说他不行,0.1785
剪刀：失业了,2022-02-21 00:19:04,2,评论,剪刀：失业了,0.4604
迷惑性太强了，过程看起来跟我撕纸玩没什么不同，但结果真的nice,2022-02-21 00:16:17,5,评论,迷惑性太强了，过程看起来跟我撕纸玩没什么不同，但结果真的nice,0.8255
我小学也这样撕纸玩，只是撕的不太好看[doge],2022-02-21 00:14:28,5,评论,我小学也这样撕纸玩，只是撕的不太好看,0.1741
别人撕纸是艺术，我撕纸是老年痴呆,2022-02-21 00:14:24,4,评论,别人撕纸是艺术，我撕纸是老年痴呆,0.0275
我在学前班玩过这个,2022-02-21 00:14:39,5,评论,我在学前班玩过这个,0.6526
这个是真的厉害了！！,2022-02-21 00:10:59,4,评论,这个是真的厉害了！,0.4133
胸有成竹,2022-02-21 00:10:44,4,评论,胸有成竹,0.4995
能用剪刀吗,2022-02-21 00:10:54,4,回复,能用剪刀吗,0.1779
爷爷我给你鼓掌👏👏👏👏👏,2022-02-21 00:06:06,2,评论,爷我给你鼓掌👏,0.911
又是转载自互联网，蹲一蹲原视频[藏狐],2022-02-21 00:04:36,5,评论,又是转载自互联网，蹲一蹲原视频,0.5796
相机转的我好晕啊,2022-02-21 00:02:42,6,评论,相机转的我好晕啊,0.451
旁边旁边还有作品，为什么不展示介绍一下呢？,2022-02-20 23:59:54,6,评论,旁边还有作品，为什么不展示介绍一下呢？,0.1778
我给爷爷鼓掌👏👏👏,2022-02-21 00:01:10,4,评论,我给爷鼓掌👏,0.9641
呜呜好喜欢这个视频，求二拍，还想看撕纸和爷爷,2022-02-21 00:00:30,4,评论,呜好喜欢这个视频，求二拍，还想看撕纸和爷,0.9882
谁能科普一下这玩意儿的历史,2022-02-21 00:00:14,6,评论,谁能科普一下这玩意儿的历史,0.0526
看之前:我要仔细看看，说不定能学一点看之后:好强！！！,2022-02-20 23:59:36,5,评论,看之前:我要仔细看，说不定能学一点看之后:好强！,0.8163
up能告诉这个爷爷有很多人点赞吗？,2022-02-20 23:58:09,3,评论,up能告诉这个爷有很多人点赞吗？,0.6589
