评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
大学做过扎染，太难了[藏狐],2021-07-27 15:50:19,6,评论,大学做过扎染，太难了,0.4069
画很美，心疼手手，染色了都,2021-07-27 15:48:36,6,评论,画很美，心疼手，染色了都,0.9788
我们上学期上了蜡染课 看上去简单 真的好难😭,2021-07-27 13:41:22,5,评论,我们上学期上了蜡染课 看上去简单 真的好难😭,0.4292
建议加几个水印,2021-07-27 12:35:59,5,评论,建议加几个水印,0.5365
好好看啊,2021-07-27 12:16:45,5,评论,好看啊,0.9674
我们初中的美术书里面好像有，因为条件有限，不能染布，老师就用相同的原理让我们画画，用蜡或者是白的油画棒在纸上画完之后再大面积的刷颜料，一模一样的原理,2021-07-27 12:16:20,5,评论,我们初中的美术书里面好像有，因为条件有限，不能染布，老师就用相同的原理让我们画，用蜡或者是白的油画棒在纸上画完之后再大面积的刷颜料，一模一样的原理,0.8086
up要小心韩国人啊,2021-07-27 12:05:44,5,评论,up要小心韩国人啊,0.0661
艹 是魔法！,2021-07-27 12:05:15,6,评论,艹 是魔法！,0.0141
蜡染？拿来吧你!,2021-07-27 11:40:06,5,评论,蜡染？拿来吧你!,0.0731
啊我们艺术课做了这个！！真的很难[笑哭][笑哭][笑哭],2021-07-27 11:12:55,5,评论,啊我们艺术课做了这个！真的很难,0.1738
这也……太好看啊啊啊，啊啊啊，啊啊啊，啊啊啊！是神仙！,2021-07-27 10:50:06,6,评论,这也…太好看啊，啊！是神仙！,0.9099
超喜欢这个,2021-07-27 10:48:00,5,评论,超喜欢这个,0.9865
这才是大佬呀，我们专业要做蜡染，一群人做的乱七八糟[笑哭]，虽然也有天气太冷，蜡一拿出加热烧杯就凝固的原因，但真的很难。,2021-07-27 10:04:39,6,评论,这才是大佬呀，我们专业要做蜡染，一群人做的乱七八糟，虽然也有天气太冷，蜡一拿出加热烧杯就凝固的原因，但真的很难。,0.1149
打扰一下up：兄弟们这边开团→https://b23.tv/KLXZ8s,2021-07-27 06:32:10,4,评论,打扰一下up：兄弟们这边开团→htps:/b23.tv/KLXZ8s,0.7451
快打水印别让韩国人看见,2021-07-27 04:15:06,5,评论,快打水印别让韩国人看见,0.5159
完全惊艳到了……😭😭,2021-07-27 03:09:25,5,评论,完全惊艳到了…😭,0.8925
两那，专门搞这个的[OK],2021-07-27 02:57:34,3,评论,两那，专门搞这个的,0.4815
这就是。。。留白液？[doge],2021-07-27 02:51:03,5,评论,这就是。留白液？,0.0984
蓝印花布(如果叫错了当我没说！),2021-07-27 02:28:44,5,评论,蓝印花布(如果叫错了当我没说！),0.3423
想问一下能购买嘛,2021-07-27 00:10:22,5,评论,想问一下能购买嘛,0.4217
留白液,2021-07-26 23:53:25,4,评论,留白液,0.6105
好漂亮的蜡染,2021-07-26 23:23:20,5,评论,好漂亮的蜡染,0.9769
我就是学这个的，刚刚上手就很难调整温度，容易结块，渗不进去，画两遍就好掌握多了,2021-07-26 23:15:02,4,评论,我就是学这个的，刚上手就很难调整温度，容易结块，渗不进去，画两遍就好掌握多了,0.5328
太美了！,2021-07-26 23:09:36,5,评论,太美了！,0.8842
个人以为可以三弟打印对没有艺术造诣的同学或许更容易上手,2021-07-26 23:03:53,5,评论,个人以为可以三弟打印对没有艺术造诣的同学或许更容易上手,0.6047
刚开始：就这？结尾：亲爹！,2021-07-26 22:47:00,4,评论,刚开始：就这？结尾：亲爹！,0.0236
水印！！！！,2021-07-26 22:38:45,5,评论,水印！,0.7336
加油，up主[吃瓜],2021-07-26 22:31:01,5,评论,加油，up主,0.8428
我天 第一次听说！中国人 你还有多少惊喜是我不知道的[点赞],2021-07-26 22:30:26,5,评论,我天 第一次听说！中国人 你还有多少惊喜是我不知道的,0.8403
好好看！！！,2021-07-26 22:27:32,3,评论,好看！,0.9733
花好月圆啊,2021-07-26 22:26:47,6,评论,花好月圆啊,0.7176
好好看！！！,2021-07-26 22:21:56,5,评论,好看！,0.9733
不能让思密达看到,2021-07-26 22:20:05,5,评论,不能让思密达看到,0.0913
一定要传承下去[打call][打call],2021-07-26 22:08:54,5,评论,一定要传承下去,0.9735
好好看啊[大哭][大哭],2021-07-26 22:05:20,5,评论,好看啊,0.9674
你的手更好看[给心心],2021-07-26 21:59:45,4,评论,你的手更好看,0.8999
