评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
失传根本不是没人学，是没人教，这些花要是能量产，根本不愁什文化输出,2022-01-18 01:19:35,5,评论,失传根本不是没人学，是没人教，这些花要是能量产，根本不愁什文化输出,0.0061
以后会越来越多人学的。因为现在喜欢传统文化的人很多，确实有很多人因为汉服复兴去学,2022-01-17 20:47:49,5,评论,以后会越来越多人学的。因为现在喜欢传统文化的人很多，确实有很多人因为汉服复兴去学,0.9662
发动技能——呼叫簪娘簪郎,2022-01-16 20:44:55,4,评论,发动技能—呼叫簪娘簪郎,0.7929
通草花可以开个网课么？真心求[给心心],2022-01-14 19:29:04,5,评论,通草花可以开个网课么？真心求,0.332
BV15M4y1u7Lk,2022-01-14 20:27:41,6,回复,BV15M4y1u7Lk,0.6055
回复 @啾啾与三条鱼 :谢谢~,2022-01-14 20:37:34,5,回复,回复 @啾与三条鱼 :谢~,0.7458
簪娘我知道的也挺多在做通草花呀[呲牙]我都买过几次团购了[害羞],2022-01-25 13:02:10,6,评论,簪娘我知道的也挺多在做通草花呀,0.7142
通草花好是好看，不过太脆弱了[笑哭][笑哭]我能肝缠花。通草花肝了两天，肝不下去了,2022-01-24 22:09:18,4,评论,通草花好是好看，不过太脆弱了我能肝缠花。通草花肝了两天，肝不下去了,0.4788
哈哈哈哈，快失传的非遗被簪娘们卷成一般技能,2022-01-24 22:04:36,6,评论,哈，快失传的非遗被簪娘们卷成一般技能,0.5472
簪娘：很好你引起了我的注意,2022-01-24 20:51:53,5,评论,簪娘：很好你引起了我的注意,0.7639
想把这个弄遗传，最少还得在b站弄死十几个up[OK],2022-01-23 23:07:12,4,评论,想把这个弄遗传，最少还得在b站弄死十几个up,0.0123
建议大力宣传通草花！！！让通草花走向国外，弗拉门戈舞派上用场！！！,2022-01-23 22:11:05,5,评论,建议大力宣传通草花！让通草花走向国外，弗拉门戈舞派上用场！,0.5921
各位簪娘们，赶紧啊，这玩意太好看了,2022-01-23 16:23:23,5,评论,各位簪娘们，赶紧啊，这玩意太好看了,0.2968
这种纸能买到吗[热词系列_知识增加],2022-01-22 10:25:44,5,评论,这种纸能买到吗,0.1712
闲鱼，淘宝都有搜通草纸就行,2022-03-03 13:46:36,3,回复,闲鱼，淘宝都有搜通草纸就行,0.9092
簪娘们冲啊！期待这项工艺被更多人知道和学会[虎年][虎年],2022-01-21 13:58:09,5,评论,簪娘们冲啊！期待这项工艺被更多人知道和学会,0.813
奥运会为什么不用这种花束呢，只有毛线花感觉还是太单调,2022-01-19 16:32:58,6,评论,奥运会为什么不用这种花束呢，只有毛线花感觉还是太单调,0.0107
弹幕没必要踩塑料花吧，如果预算买得起通草花或者真花自然不会买塑料的，忙碌的普通人就不能搞点塑料花安慰下自己吗[傲娇],2022-01-19 15:12:22,5,评论,弹幕没必要踩塑料花吧，如果预算买得起通草花或者真花自然不会买塑料的，忙碌的普通人就不能搞点塑料花安慰下自己吗,0.0927
簪娘大佬们快造起来啊！我买！多少钱都买！吃土也买！嘿嘿嘿～小花花～,2022-01-17 17:40:21,4,评论,簪娘大佬们快造起来啊！我买！多少钱都买！吃土也买！嘿～小花～,0.966
我倒是想学，但是就我这种手长得跟脚一样。只怕是学不来。,2022-01-16 19:16:47,5,评论,我倒是想学，但是就我这种手长得跟脚一样。只怕是学不来。,0.0733
为嘛冬奥不用这个，说实话。。。毛线那个好丑,2022-01-16 09:32:24,5,评论,为嘛冬奥不用这个，说实话。毛线那个好丑,0.0269
通草花很脆，不能摔的,2022-01-16 19:04:59,5,回复,通草花很脆，不能摔的,0.4587
回复 @玖零宏 :对,2022-01-20 23:53:35,3,回复,回复 @玖零宏 :对,0.699
万般皆下品，惟有读书高[热词系列_你细品],2022-01-14 20:08:52,5,评论,万般皆下品，惟有读书高,0.5155
韩国；懂了！这项技艺是我们的！[doge][doge],2022-01-26 14:46:55,3,评论,韩国；懂了！这项技艺是我们的！,0.8039
纸是什么纸,2022-01-26 13:25:53,5,评论,纸是什么纸,0.5194
苏绣云锦瓷器各种手艺等等，我觉得这些比外国奢侈品强多了，也更精美，就算贵也值那个价，外国的好多奢侈品是我理解不了凭什么那么值钱。我觉得这些精美的手艺活才是中国古代保持难以匹及的贸易出超地位的原因,2022-01-26 12:41:06,4,评论,苏绣云锦瓷器各种手艺等，我觉得这些比外国奢侈品强多了，也更精美，就算贵也值那个价，外国的好多奢侈品是我理解不了凭什么那么值钱。我觉得这些精美的手艺活才是中国古代保持难以匹及的贸易出超地位的原因,0.9836
很多簪娘都在做[藏狐],2022-01-25 17:45:40,3,评论,很多簪娘都在做,0.6833
个人感觉这个可能比点翠掐丝还难点儿[呆],2022-01-24 14:55:23,6,评论,个人感觉这个可能比点翠掐丝还难点儿,0.386
@清云手工花,2022-01-23 22:46:32,3,评论,@清云手工花,0.7812
都不用通草花，b站有个用纸巾做花的，巨真实[热词系列_知识增加],2022-01-23 13:24:09,5,评论,都不用通草花，b站有个用纸巾做花的，巨真实,0.9485
咱们看的是同一个？[来古-震撼],2022-01-24 20:53:01,5,回复,咱们看的是同一个？,0.4142
咱把簪子做到国外行不？,2022-01-23 08:25:30,3,评论,咱把簪子做到国外行不？,0.2984
这个通草花，我之前刷到过一个簪娘做过，好像是19年的视频了,2022-01-22 22:35:49,5,评论,这个通草花，我之前刷到过一个簪娘做过，好像是19年的视频了,0.5111
靠簪娘了,2022-01-22 10:17:10,4,评论,靠簪娘了,0.1861
簪娘值得信赖，只要没有专利壁垒阻止她们学，她们能让这东西满大街。,2022-01-21 13:40:54,6,评论,簪娘值得信赖，只要没有专利壁垒阻止她们学，她们能让这东西满大街。,0.9556
我们扬州姑娘[捂眼][捂眼][捂眼],2022-01-21 00:32:59,6,评论,我们扬州姑娘,0.8185
通草花、纸绢花、绒花，簪娘三大基本功,2022-01-20 20:20:32,5,评论,通草花、纸绢花、绒花，簪娘三大基本功,0.895
亲爱的簪娘们，卷起来[doge],2022-01-20 19:39:27,3,评论,亲爱的簪娘们，卷起来,0.8675
想学[星星眼],2022-01-20 19:11:35,5,评论,想学,0.6261
漂亮,2022-01-20 18:36:21,5,评论,漂亮,0.9661
哈哈哈哈，好几个同款[tv_斜眼笑],2022-01-20 16:49:26,6,评论,哈，好几个同款,0.9711
弹幕“要对簪娘有信心”，笑死[脱单doge],2022-01-20 16:36:24,6,评论,弹幕“要对簪娘有信心”，笑死,0.9098
这就是网络的魅力吧，很多传统技艺，经过网络传播，为大众所熟知，每个人经过接触后，真正感兴趣地就会投入时间和精力学习，传统技艺在新时代的传承方式,2022-01-20 15:53:34,5,评论,这就是网络的魅力吧，很多传统技艺，经过网络传播，为大众所熟知，每个人经过接触后，真正感兴趣地就会投入时间和精力学习，传统技艺在新时代的传承方式,0.9736
