Source	Target	Type	Weight
房间	礼貌	Undirected	10
房间	照片	Undirected	22
房间	大床	Undirected	16
房间	走路	Undirected	28
房间	体验	Undirected	79
房间	味道	Undirected	46
房间	图	Undirected	17
房间	时尚	Undirected	10
房间	特色	Undirected	40
房间	天气	Undirected	12
房间	电影	Undirected	19
房间	卫生间	Undirected	44
房间	老板娘	Undirected	24
房间	水	Undirected	12
房间	啤酒	Undirected	20
房间	鱼	Undirected	24
房间	空间	Undirected	36
房间	装饰	Undirected	16
房间	床上用品	Undirected	18
房间	司机	Undirected	14
房间	全程	Undirected	14
房间	床单	Undirected	13
房间	工作人员	Undirected	17
房间	家人	Undirected	19
房间	小区	Undirected	14
房间	态度	Undirected	21
房间	距离	Undirected	35
房间	格调	Undirected	18
房间	评价	Undirected	15
房间	小孩	Undirected	14
房间	餐饮	Undirected	13
房间	床铺	Undirected	10
房间	老人	Undirected	21
房间	家具	Undirected	17
房间	生活用品	Undirected	13
房间	水果	Undirected	28
房间	总体	Undirected	43
房间	床上	Undirected	15
房间	细心	Undirected	22
房间	空气	Undirected	11
房间	细节	Undirected	45
房间	硬件	Undirected	11
房间	窗户	Undirected	10
房间	对面	Undirected	23
房间	智能	Undirected	22
房间	整体	Undirected	43
房间	马桶	Undirected	35
房间	房屋	Undirected	10
房间	客栈	Undirected	12
房间	大厅	Undirected	12
房间	视野	Undirected	20
房间	通风	Undirected	14
房间	厕所	Undirected	11
房间	房	Undirected	36
房间	一楼	Undirected	24
房间	景色	Undirected	22
房间	二楼	Undirected	12
房间	榻榻米	Undirected	14
房间	建议	Undirected	26
房间	滴滴	Undirected	10
房间	洁癖	Undirected	10
房间	店里	Undirected	44
房间	咖啡厅	Undirected	10
房间	餐厅	Undirected	26
房间	花园	Undirected	16
房间	菜	Undirected	20
房间	枕头	Undirected	20
房间	回家	Undirected	14
房间	评论	Undirected	10
房间	江景	Undirected	20
房间	楼	Undirected	12
房间	网络	Undirected	10
房间	问	Undirected	13
房间	风	Undirected	12
房间	小时	Undirected	14
房间	平台	Undirected	13
房间	小朋友	Undirected	22
房间	店员	Undirected	14
房间	区域	Undirected	10
房间	时	Undirected	11
房间	马路	Undirected	13
房间	人员	Undirected	20
房间	美景	Undirected	14
房间	下午茶	Undirected	12
房间	市区	Undirected	14
房间	市中心	Undirected	15
房间	鸡蛋	Undirected	10
房间	观景台	Undirected	45
房间	叔叔	Undirected	10
房间	用餐	Undirected	10
房间	饭菜	Undirected	12
房间	观景	Undirected	14
房间	别墅	Undirected	19
房间	景观	Undirected	13
房间	粥	Undirected	19
房间	猫猫	Undirected	10
房间	油条	Undirected	31
房间	猫咪	Undirected	22
房间	楼顶	Undirected	10
房间	猫	Undirected	18
房间	浴缸	Undirected	24
房间	咖啡	Undirected	39
房间	营养	Undirected	10
房间	晚餐	Undirected	22
房间	撸	Undirected	10
房间	路	Undirected	10
房间	餐食	Undirected	16
房间	龙脊	Undirected	24
房间	梯田	Undirected	49
房间	陌野	Undirected	12
房间	辣子鸡	Undirected	12
房间	米酒	Undirected	11
布置	民宿	Undirected	21
布置	房东	Undirected	14
布置	设施	Undirected	20
布置	交通	Undirected	11
布置	感觉	Undirected	19
布置	环境	Undirected	16
布置	性价比	Undirected	13
布置	用心	Undirected	12
布置	老板	Undirected	13
布置	体验	Undirected	10
用品	民宿	Undirected	23
用品	房东	Undirected	11
用品	设施	Undirected	26
用品	交通	Undirected	16
用品	感觉	Undirected	18
用品	环境	Undirected	14
用品	性价比	Undirected	11
用品	体验	Undirected	11
民宿	床	Undirected	33
民宿	阳台	Undirected	27
民宿	很漂亮	Undirected	13
民宿	管家	Undirected	37
民宿	行程	Undirected	21
民宿	美食	Undirected	19
民宿	心	Undirected	15
民宿	车	Undirected	24
民宿	风景	Undirected	45
民宿	房子	Undirected	29
民宿	房东	Undirected	67
民宿	设施	Undirected	80
民宿	一家人	Undirected	14
民宿	朋友	Undirected	58
民宿	交通	Undirected	35
民宿	厨房	Undirected	12
民宿	价格	Undirected	34
民宿	店	Undirected	27
民宿	感觉	Undirected	99
民宿	空调	Undirected	21
民宿	前台	Undirected	46
民宿	服务态度	Undirected	18
民宿	环境	Undirected	88
民宿	性价比	Undirected	32
民宿	公园	Undirected	16
民宿	停车场	Undirected	35
民宿	家庭	Undirected	22
民宿	图片	Undirected	15
民宿	机会	Undirected	30
民宿	被子	Undirected	10
民宿	鸡	Undirected	14
民宿	用心	Undirected	57
民宿	散步	Undirected	11
民宿	游玩	Undirected	24
民宿	美女	Undirected	10
民宿	景区	Undirected	46
民宿	孩子	Undirected	32
民宿	床品	Undirected	22
民宿	客人	Undirected	21
民宿	店家	Undirected	26
民宿	步行	Undirected	36
民宿	老板	Undirected	96
民宿	照片	Undirected	14
民宿	大床	Undirected	11
民宿	走路	Undirected	15
民宿	体验	Undirected	55
民宿	味道	Undirected	38
民宿	图	Undirected	15
民宿	时尚	Undirected	11
民宿	特色	Undirected	23
民宿	天气	Undirected	10
民宿	电影	Undirected	12
民宿	卫生间	Undirected	31
民宿	老板娘	Undirected	25
民宿	山	Undirected	10
民宿	啤酒	Undirected	12
民宿	鱼	Undirected	24
民宿	空间	Undirected	10
民宿	司机	Undirected	11
民宿	全程	Undirected	10
民宿	工作人员	Undirected	16
民宿	家人	Undirected	10
民宿	小区	Undirected	14
民宿	态度	Undirected	11
民宿	距离	Undirected	22
民宿	格调	Undirected	13
民宿	评价	Undirected	12
民宿	小孩	Undirected	12
民宿	餐饮	Undirected	13
民宿	家具	Undirected	10
民宿	总体	Undirected	16
民宿	床上	Undirected	12
民宿	细心	Undirected	12
民宿	细节	Undirected	39
民宿	硬件	Undirected	17
民宿	对面	Undirected	10
民宿	智能	Undirected	20
民宿	整体	Undirected	16
民宿	马桶	Undirected	30
民宿	视野	Undirected	14
民宿	房	Undirected	26
民宿	一楼	Undirected	19
民宿	景色	Undirected	28
民宿	建议	Undirected	25
民宿	一流	Undirected	11
民宿	店里	Undirected	36
民宿	餐厅	Undirected	32
民宿	花园	Undirected	10
民宿	菜	Undirected	24
民宿	枕头	Undirected	16
民宿	回家	Undirected	13
民宿	早餐	Undirected	112
民宿	温度	Undirected	16
民宿	风	Undirected	11
民宿	小时	Undirected	10
民宿	小朋友	Undirected	14
民宿	时	Undirected	10
民宿	人员	Undirected	10
民宿	美景	Undirected	16
民宿	下午茶	Undirected	12
民宿	主人	Undirected	12
民宿	市区	Undirected	13
民宿	饭	Undirected	13
民宿	市中心	Undirected	14
民宿	观景台	Undirected	66
