评论内容,评论时间,评论人等级,评论类型
哇！好漂亮啊！要是取一点点地方给大家讲一讲就好了！,2020-04-15 17:34:20,4,评论
回复 @掐丝珐琅唐卡 :好哒，期待中，谢谢up！[打call],2020-04-18 13:58:29,4,回复
有机会给大家直播聊聊,2020-04-15 17:36:13,4,回复
这视频短的都是十几分钟二十分钟加速的  长的都是半小时以上加速的  没法讲解  再就是突兀的讲你们也不懂,2020-04-15 17:35:44,4,回复
厉害的！,2020-04-15 16:00:41,6,评论
[抱拳][抱拳][抱拳],2020-04-15 16:03:25,4,回复
嘎油,2020-04-15 15:33:49,5,评论
[抱拳][抱拳][抱拳],2020-04-15 15:38:21,4,回复
好厉害[热词系列_三连],2020-04-15 10:09:44,6,评论
[爱心][爱心][爱心],2020-04-15 10:19:33,4,回复
！！！up！！请问这个胶叫什么呀！！找了好久[大哭],2020-04-15 07:59:45,6,评论
回复 @掐丝珐琅唐卡 :謝謝up！,2020-04-15 12:44:37,6,回复
回复 @一锦玉一 :一切工具都自己改造,2020-04-15 12:13:45,4,回复
回复 @掐丝珐琅唐卡 :针管是自己装的吗！我买的时候只看到罐装的_(:з」∠)_,2020-04-15 12:08:56,6,回复
这个胶好棒！up手好稳！,2020-04-14 23:17:08,5,评论
[爱心][爱心][爱心],2020-04-15 07:18:52,4,回复
近距离观看真的好爽，太解压了[热词系列_爱了爱了][热词系列_爱了爱了],2020-04-14 22:42:12,5,评论
[爱心][爱心][爱心][爱心],2020-04-14 23:01:56,4,回复
请问胶水是哪家的（￣▽￣）,2020-04-14 16:42:40,5,评论
自己家的,2020-04-14 16:47:56,4,回复
