片名,地区,评分,上映时间
"碧蓝之海 ぐらんぶる",日本,6.6,2020-07-26(上海电影节)/2020-08-07(日本)
"明天的记忆 내일의 기억",韩国,6.4,2021-04-29(中国台湾)/2021-04-21(韩国)
"我所有的朋友都死了 Wszyscy moi przyjaciele nie zyja",波兰,6.6,2020-12-28(波兰)
"约束的罪行 Crímenes de familia",阿根廷,7.1,2020-08-19(美国)
"海绵宝宝：营救大冒险 The SpongeBob Movie: Sponge on the Run",美国/韩国/墨西哥/日本/西班牙,6.2,2020-11-06(中国大陆网络)/2020-08-14(加拿大)
"OK老板娘 오케이 마담",韩国,6.5,2020-08-12(韩国)
"小丑 Joker",美国/加拿大,8.7,2019-08-31(威尼斯电影节)/2019-10-04(美国)
"哪吒之魔童降世",中国大陆,8.4,2019-07-26(中国大陆)/2019-07-13(大规模点映)
"爱尔兰人 The Irishman",美国,8.8,2019-09-27(纽约电影节)/2019-11-01(美国点映)/2019-11-27(美国网络)
"困在时间里的父亲 The Father",英国/法国,8.7,2021-06-18(中国大陆)/2020-01-27(圣丹斯电影节)/2021-02-26(美国)/2021-03-26(美国网络)
"82年生的金智英 82년생 김지영",韩国,8.6,2019-11-07(中国香港)/2019-10-23(韩国)
"少年的你",中国大陆/中国香港,8.3,2019-10-25(中国大陆)
"玩具总动员4 Toy Story 4",美国,8.6,2019-06-21(美国/中国大陆)
"多哥 Togo",美国,8.8,2019-12-20(美国)
"1917",美国/英国/印度/西班牙/加拿大/中国大陆,8.5,2020-08-07(中国大陆)/2019-12-25(美国)/2020-01-10(英国)
"婚姻故事 Marriage Story",英国/美国,8.6,2020-05-20(中国大陆网络)/2019-08-29(威尼斯电影节)/2019-12-06(美国)
"阳光普照 陽光普照",中国台湾,8.5,2019-11-01(中国台湾)/2019-09-06(多伦多电影节)
"极速车王 Ford v Ferrari",美国,8.6,2020-08-07(中国大陆)/2019-08-30(特柳赖德电影节)/2019-11-15(美国)
"黑水 Dark Waters",美国,8.6,2019-11-22(美国点映)/2019-12-06(美国)
"乔乔的异想世界 Jojo Rabbit",美国/捷克/新西兰,8.4,2020-07-31(中国大陆)/2019-09-08(多伦多电影节)/2019-11-08(美国)
"利刃出鞘 Knives Out",美国,8.2,2019-11-29(中国大陆)/2019-09-07(多伦多电影节)/2019-11-27(美国)
"给我翅膀 Donne-moi des ailes",法国,8.7,2019-10-09(法国)
